Name,Rarity,Type,Properties,Text
+1 Greatsword,uncommon,"weapon, martial weapon, melee weapon","2d6, slashing, - heavy, two-handed","You have a +1 bonus to attack and damage rolls made with this magic weapon. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
+1 Half Plate Armor,rare,medium armor,AC 15 + Dex (max 2),You have a +1 bonus to AC while wearing this armor.Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps.The wearer has disadvantage on Dexterity (Stealth) checks.
+1 Hand Crossbow,uncommon,"weapon, martial weapon, ranged weapon","1d6, piercing, - ammunition (30/120 ft.), light, loading","You have a +1 bonus to attack and damage rolls made with this magic weapon. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make."
+1 Handaxe,uncommon,"weapon, simple weapon, melee weapon","1d6, slashing, - light, thrown (20/60 ft.)","You have a +1 bonus to attack and damage rolls made with this magic weapon. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
+1 Heavy Crossbow,uncommon,"weapon, martial weapon, ranged weapon","1d10, piercing, - ammunition (100/400 ft.), heavy, loading, two-handed","You have a +1 bonus to attack and damage rolls made with this magic weapon. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
+1 Hide Armor,rare,medium armor,AC 12 + Dex (max 2),"You have a +1 bonus to AC while wearing this armor.This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor."
+1 Javelin,uncommon,"weapon, simple weapon, melee weapon","1d6, piercing, - thrown (30/120 ft.)","You have a +1 bonus to attack and damage rolls made with this magic weapon. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
+1 Lance,uncommon,"weapon, martial weapon, melee weapon","1d12, piercing, - reach, special","You have a +1 bonus to attack and damage rolls made with this magic weapon. Special. You have disadvantage when you use a lance to attack a target within 5 feet of you. Also, a lance requires two hands to wield when you aren't mounted. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon."
+1 Leather Armor,rare,light armor,AC 11 + Dex,You have a +1 bonus to AC while wearing this armor.The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials.
+1 Light Crossbow,uncommon,"weapon, simple weapon, ranged weapon","1d8, piercing, - ammunition (80/320 ft.), loading, two-handed","You have a +1 bonus to attack and damage rolls made with this magic weapon. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
+1 Longbow,uncommon,"weapon, martial weapon, ranged weapon","1d8, piercing, - ammunition (150/600 ft.), heavy, two-handed","You have a +1 bonus to attack and damage rolls made with this magic weapon. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
+1 Longsword,uncommon,"weapon, martial weapon, melee weapon","1d8, slashing, - versatile (1d10)",You have a +1 bonus to attack and damage rolls made with this magic weapon. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.
+1 Mace,uncommon,"weapon, simple weapon, melee weapon","1d6, bludgeoning",You have a +1 bonus to attack and damage rolls made with this magic weapon.
+1 Padded Armor,rare,light armor,AC 11 + Dex,You have a +1 bonus to AC while wearing this armor.Padded armor consists of quilted layers of cloth and batting.The wearer has disadvantage on Dexterity (Stealth) checks.
+1 Pike,uncommon,"weapon, martial weapon, melee weapon","1d10, piercing, - heavy, reach, two-handed","You have a +1 bonus to attack and damage rolls made with this magic weapon. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
+1 Plate Armor,rare,heavy armor,AC 18,"You have a +1 bonus to AC while wearing this armor.Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
+1 Quarterstaff,uncommon,"weapon, simple weapon, melee weapon","1d6, bludgeoning, - versatile (1d8)",You have a +1 bonus to attack and damage rolls made with this magic weapon. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.
+1 Rapier,uncommon,"weapon, martial weapon, melee weapon","1d8, piercing, - finesse","You have a +1 bonus to attack and damage rolls made with this magic weapon. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls."
+1 Ring Mail,rare,heavy armor,AC 14,"You have a +1 bonus to AC while wearing this armor.This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can't afford better armor.The wearer has disadvantage on Dexterity (Stealth) checks."
+1 Scale Mail,rare,medium armor,AC 14 + Dex (max 2),"You have a +1 bonus to AC while wearing this armor.This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks."
+1 Scimitar,uncommon,"weapon, martial weapon, melee weapon","1d6, slashing, - finesse, light","You have a +1 bonus to attack and damage rolls made with this magic weapon. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
+1 Shield,uncommon,armor (shield),AC +2 + Dex,"While holding this shield, you have a +1 bonus to AC. This bonus is in addition to the shield's normal bonus to AC.A shield is made from wood or metal and is carried in one hand. Wielding a shield increases your Armor Class by 2. You can benefit from only one shield at a time."
+1 Shortbow,uncommon,"weapon, simple weapon, ranged weapon","1d6, piercing, - ammunition (80/320 ft.), two-handed","You have a +1 bonus to attack and damage rolls made with this magic weapon. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
+1 Shortsword,uncommon,"weapon, martial weapon, melee weapon","1d6, piercing, - finesse, light","You have a +1 bonus to attack and damage rolls made with this magic weapon. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
+1 Spear,uncommon,"weapon, simple weapon, melee weapon","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","You have a +1 bonus to attack and damage rolls made with this magic weapon. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
+1 Splint Armor,rare,heavy armor,AC 17,"You have a +1 bonus to AC while wearing this armor.This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
+1 Studded Leather Armor,rare,light armor,AC 12 + Dex,"You have a +1 bonus to AC while wearing this armor.Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
+1 Wand of the War Mage,uncommon,wand,,"While you are holding this wand, you gain a +1 bonus to spell attack rolls. In addition, you ignore half cover when making a spell attack."
+1 War Pick,uncommon,"weapon, martial weapon, melee weapon","1d8, piercing",You have a +1 bonus to attack and damage rolls made with this magic weapon.
+1 Warhammer,uncommon,"weapon, martial weapon, melee weapon","1d8, bludgeoning, - versatile (1d10)",You have a +1 bonus to attack and damage rolls made with this magic weapon. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.
+1 Whip,uncommon,"weapon, martial weapon, melee weapon","1d4, slashing, - finesse, reach","You have a +1 bonus to attack and damage rolls made with this magic weapon. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon."
+2 Battleaxe,rare,"weapon, martial weapon, melee weapon","1d8, slashing, - versatile (1d10)",You have a +2 bonus to attack and damage rolls made with this magic weapon. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.
+2 Breastplate,very rare,medium armor,AC 14 + Dex (max 2),"You have a +2 bonus to AC while wearing this armor.This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered."
+2 Chain Mail,very rare,heavy armor,AC 16,"You have a +2 bonus to AC while wearing this armor.Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
+2 Chain Shirt,very rare,medium armor,AC 13 + Dex (max 2),"You have a +2 bonus to AC while wearing this armor.Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
+2 Club,rare,"weapon, simple weapon, melee weapon","1d4, bludgeoning, - light","You have a +2 bonus to attack and damage rolls made with this magic weapon. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
+2 Dagger,rare,"weapon, simple weapon, melee weapon","1d4, piercing, - finesse, light, thrown (20/60 ft.)","You have a +2 bonus to attack and damage rolls made with this magic weapon. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
+2 Dart,rare,"weapon, simple weapon, ranged weapon","1d4, piercing, - finesse, thrown (20/60 ft.)","You have a +2 bonus to attack and damage rolls made with this magic weapon. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
+2 Flail,rare,"weapon, martial weapon, melee weapon","1d8, bludgeoning",You have a +2 bonus to attack and damage rolls made with this magic weapon.
+2 Greataxe,rare,"weapon, martial weapon, melee weapon","1d12, slashing, - heavy, two-handed","You have a +2 bonus to attack and damage rolls made with this magic weapon. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
+2 Greatclub,rare,"weapon, simple weapon, melee weapon","1d8, bludgeoning, - two-handed","You have a +2 bonus to attack and damage rolls made with this magic weapon. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
+2 Greatsword,rare,"weapon, martial weapon, melee weapon","2d6, slashing, - heavy, two-handed","You have a +2 bonus to attack and damage rolls made with this magic weapon. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
+2 Half Plate Armor,very rare,medium armor,AC 15 + Dex (max 2),You have a +2 bonus to AC while wearing this armor.Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps.The wearer has disadvantage on Dexterity (Stealth) checks.
+2 Hand Crossbow,rare,"weapon, martial weapon, ranged weapon","1d6, piercing, - ammunition (30/120 ft.), light, loading","You have a +2 bonus to attack and damage rolls made with this magic weapon. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make."
+2 Handaxe,rare,"weapon, simple weapon, melee weapon","1d6, slashing, - light, thrown (20/60 ft.)","You have a +2 bonus to attack and damage rolls made with this magic weapon. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
+2 Heavy Crossbow,rare,"weapon, martial weapon, ranged weapon","1d10, piercing, - ammunition (100/400 ft.), heavy, loading, two-handed","You have a +2 bonus to attack and damage rolls made with this magic weapon. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
+2 Hide Armor,very rare,medium armor,AC 12 + Dex (max 2),"You have a +2 bonus to AC while wearing this armor.This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor."
+2 Javelin,rare,"weapon, simple weapon, melee weapon","1d6, piercing, - thrown (30/120 ft.)","You have a +2 bonus to attack and damage rolls made with this magic weapon. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
+2 Lance,rare,"weapon, martial weapon, melee weapon","1d12, piercing, - reach, special","You have a +2 bonus to attack and damage rolls made with this magic weapon. Special. You have disadvantage when you use a lance to attack a target within 5 feet of you. Also, a lance requires two hands to wield when you aren't mounted. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon."
+2 Leather Armor,very rare,light armor,AC 11 + Dex,You have a +2 bonus to AC while wearing this armor.The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials.
+2 Light Crossbow,rare,"weapon, simple weapon, ranged weapon","1d8, piercing, - ammunition (80/320 ft.), loading, two-handed","You have a +2 bonus to attack and damage rolls made with this magic weapon. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
+2 Longbow,rare,"weapon, martial weapon, ranged weapon","1d8, piercing, - ammunition (150/600 ft.), heavy, two-handed","You have a +2 bonus to attack and damage rolls made with this magic weapon. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
+2 Longsword,rare,"weapon, martial weapon, melee weapon","1d8, slashing, - versatile (1d10)",You have a +2 bonus to attack and damage rolls made with this magic weapon. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.
+2 Mace,rare,"weapon, simple weapon, melee weapon","1d6, bludgeoning",You have a +2 bonus to attack and damage rolls made with this magic weapon.
+2 Padded Armor,very rare,light armor,AC 11 + Dex,You have a +2 bonus to AC while wearing this armor.Padded armor consists of quilted layers of cloth and batting.The wearer has disadvantage on Dexterity (Stealth) checks.
